Rüdiger,Antonio,Chelsea
CB,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.07,71
NON_PEN_XG,0.07,79
TOTAL_SHOTS,1.02,98
ASSISTS,0.02,57
XA,0.04,89
NON_PEN_XG+XA,0.11,91
SHOT_CREATIONS,1.04,92
PASSES_ATTEMPTED,70.74,91
PASS_COMPLETION_PERCENTAGE,88.7,69
PROGRESSIVE_PASSES,3.80,83
PROGRESSIVE CARRIES,4.57,85
DRIBBLES_COMPLETED,0.24,58
TOUCHES_IN_AREA,1.11,79
PROGRESSIVE_PASSES_RECIEVED,0.28,77
PRESSURES,8.72,49
TACKLES,1.46,48
INTERCEPTIONS,0.98,4
BLOCKS,1.26,13
CLEARANCES,4.04,24
AERIAL_DUELS_WON,2.41,44
