Fernandes,Bruno,Manchester Utd
AM,CM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.25,59
NON_PEN_XG,0.22,58
TOTAL_SHOTS,2.86,89
ASSISTS,0.41,95
XA,0.35,96
NON_PEN_XG+XA,0.57,88
SHOT_CREATIONS,4.62,89
PASSES_ATTEMPTED,60.37,97
PASS_COMPLETION_PERCENTAGE,74.6,42
PROGRESSIVE_PASSES,5.65,93
PROGRESSIVE CARRIES,5.84,47
DRIBBLES_COMPLETED,0.72,7
TOUCHES_IN_AREA,3.92,50
PROGRESSIVE_PASSES_RECIEVED,7.71,80
PRESSURES,20.81,85
TACKLES,1.54,64
INTERCEPTIONS,0.82,43
BLOCKS,0.90,19
CLEARANCES,1.03,88
AERIAL_DUELS_WON,0.56,41
