Højbjerg,Pierre,Tottenham
CM,DM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.10,76
NON_PEN_XG,0.05,34
TOTAL_SHOTS,0.56,24
ASSISTS,0.10,69
XA,0.05,39
NON_PEN_XG+XA,0.10,33
SHOT_CREATIONS,1.53,34
PASSES_ATTEMPTED,71.34,91
PASS_COMPLETION_PERCENTAGE,89.1,89
PROGRESSIVE_PASSES,5.26,80
PROGRESSIVE CARRIES,4.09,54
DRIBBLES_COMPLETED,0.94,62
TOUCHES_IN_AREA,0.71,26
PROGRESSIVE_PASSES_RECIEVED,1.17,27
PRESSURES,21.68,81
TACKLES,2.69,75
INTERCEPTIONS,1.80,68
BLOCKS,1.78,69
CLEARANCES,1.96,78
AERIAL_DUELS_WON,1.22,52
