Dennis,Emmanuel,Watford
FW,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.38,86
NON_PEN_XG,0.24,64
TOTAL_SHOTS,2.03,53
ASSISTS,0.33,89
XA,0.15,41
NON_PEN_XG+XA,0.39,55
SHOT_CREATIONS,2.85,34
PASSES_ATTEMPTED,22.80,2
PASS_COMPLETION_PERCENTAGE,66.3,7
PROGRESSIVE_PASSES,1.43,2
PROGRESSIVE CARRIES,4.38,14
DRIBBLES_COMPLETED,2.03,67
TOUCHES_IN_AREA,5.32,78
PROGRESSIVE_PASSES_RECIEVED,6.63,56
PRESSURES,22.25,95
TACKLES,2.03,88
INTERCEPTIONS,0.71,30
BLOCKS,1.21,53
CLEARANCES,0.16,10
AERIAL_DUELS_WON,2.36,96
