Roberto,Sergi,Barcelona
AM,CM,FB
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.20,99
NON_PEN_XG,0.18,99
TOTAL_SHOTS,0.71,65
ASSISTS,0.10,62
XA,0.09,60
NON_PEN_XG+XA,0.28,94
SHOT_CREATIONS,1.72,55
PASSES_ATTEMPTED,72.26,93
PASS_COMPLETION_PERCENTAGE,88.8,98
PROGRESSIVE_PASSES,3.24,38
PROGRESSIVE CARRIES,4.86,57
DRIBBLES_COMPLETED,1.11,75
TOUCHES_IN_AREA,1.93,73
PROGRESSIVE_PASSES_RECIEVED,3.65,90
PRESSURES,10.14,16
TACKLES,1.42,13
INTERCEPTIONS,0.71,1
BLOCKS,1.52,23
CLEARANCES,0.81,1
AERIAL_DUELS_WON,0.81,26
