Zaldúa,Joseba,Real Sociedad
RB,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,18
NON_PEN_XG,0.00,1
TOTAL_SHOTS,0.21,9
ASSISTS,0.14,76
XA,0.08,49
NON_PEN_XG+XA,0.08,23
SHOT_CREATIONS,1.38,34
PASSES_ATTEMPTED,52.29,50
PASS_COMPLETION_PERCENTAGE,80.1,67
PROGRESSIVE_PASSES,2.56,11
PROGRESSIVE CARRIES,3.52,26
DRIBBLES_COMPLETED,0.35,10
TOUCHES_IN_AREA,0.62,13
PROGRESSIVE_PASSES_RECIEVED,1.17,17
PRESSURES,12.50,49
TACKLES,2.62,81
INTERCEPTIONS,1.52,43
BLOCKS,1.80,45
CLEARANCES,3.18,84
AERIAL_DUELS_WON,1.86,87
