Dina Ebimbe,Junior,Paris S-G
MF,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,1
NON_PEN_XG,0.14,18
TOTAL_SHOTS,1.94,48
ASSISTS,0.06,11
XA,0.08,6
NON_PEN_XG+XA,0.22,8
SHOT_CREATIONS,2.59,22
PASSES_ATTEMPTED,43.38,66
PASS_COMPLETION_PERCENTAGE,84.0,95
PROGRESSIVE_PASSES,2.98,37
PROGRESSIVE CARRIES,5.31,34
DRIBBLES_COMPLETED,2.33,81
TOUCHES_IN_AREA,2.85,21
PROGRESSIVE_PASSES_RECIEVED,4.53,16
PRESSURES,19.30,76
TACKLES,1.75,76
INTERCEPTIONS,0.78,36
BLOCKS,0.97,29
CLEARANCES,0.26,17
AERIAL_DUELS_WON,0.71,55
