John,Marco,Hoffenheim
MF,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,18
NON_PEN_XG,0.02,20
TOTAL_SHOTS,0.45,34
ASSISTS,0.00,8
XA,0.15,86
NON_PEN_XG+XA,0.17,73
SHOT_CREATIONS,1.96,68
PASSES_ATTEMPTED,48.80,32
PASS_COMPLETION_PERCENTAGE,79.9,66
PROGRESSIVE_PASSES,4.22,71
PROGRESSIVE CARRIES,4.52,49
DRIBBLES_COMPLETED,1.05,69
TOUCHES_IN_AREA,2.86,91
PROGRESSIVE_PASSES_RECIEVED,4.29,94
PRESSURES,13.03,55
TACKLES,1.73,30
INTERCEPTIONS,1.21,20
BLOCKS,2.71,95
CLEARANCES,1.66,19
AERIAL_DUELS_WON,1.28,58
