Theate,Arthur,Bologna
DF,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.18,99
NON_PEN_XG,0.11,97
TOTAL_SHOTS,1.06,98
ASSISTS,0.09,95
XA,0.01,34
NON_PEN_XG+XA,0.12,95
SHOT_CREATIONS,0.62,60
PASSES_ATTEMPTED,61.91,74
PASS_COMPLETION_PERCENTAGE,86.6,47
PROGRESSIVE_PASSES,4.49,92
PROGRESSIVE CARRIES,5.64,95
DRIBBLES_COMPLETED,0.35,77
TOUCHES_IN_AREA,1.06,76
PROGRESSIVE_PASSES_RECIEVED,0.18,56
PRESSURES,11.98,85
TACKLES,1.50,52
INTERCEPTIONS,2.29,86
BLOCKS,0.97,1
CLEARANCES,2.11,1
AERIAL_DUELS_WON,1.06,2
