Pavoletti,Leonardo,Cagliari
ST,FW,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.25,23
NON_PEN_XG,0.31,37
TOTAL_SHOTS,2.06,28
ASSISTS,0.10,37
XA,0.03,3
NON_PEN_XG+XA,0.35,17
SHOT_CREATIONS,1.52,13
PASSES_ATTEMPTED,24.92,58
PASS_COMPLETION_PERCENTAGE,74.0,59
PROGRESSIVE_PASSES,0.74,7
PROGRESSIVE CARRIES,0.39,1
DRIBBLES_COMPLETED,0.20,1
TOUCHES_IN_AREA,4.66,34
PROGRESSIVE_PASSES_RECIEVED,4.61,3
PRESSURES,14.27,48
TACKLES,0.49,28
INTERCEPTIONS,0.20,11
BLOCKS,0.83,65
CLEARANCES,1.72,99
AERIAL_DUELS_WON,6.62,96
