Bastoni,Alessandro,Inter
LCB,CB,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,16
NON_PEN_XG,0.03,21
TOTAL_SHOTS,0.28,15
ASSISTS,0.09,96
XA,0.06,98
NON_PEN_XG+XA,0.09,80
SHOT_CREATIONS,1.16,95
PASSES_ATTEMPTED,69.45,88
PASS_COMPLETION_PERCENTAGE,89.1,72
PROGRESSIVE_PASSES,3.74,81
PROGRESSIVE CARRIES,5.87,96
DRIBBLES_COMPLETED,0.21,50
TOUCHES_IN_AREA,0.74,42
PROGRESSIVE_PASSES_RECIEVED,0.86,96
PRESSURES,9.80,65
TACKLES,1.34,39
INTERCEPTIONS,1.29,16
BLOCKS,1.41,24
CLEARANCES,2.87,3
AERIAL_DUELS_WON,2.03,24
