Ranocchia,Andrea,Inter
CB,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,16
NON_PEN_XG,0.08,91
TOTAL_SHOTS,0.72,79
ASSISTS,0.00,28
XA,0.01,47
NON_PEN_XG+XA,0.10,85
SHOT_CREATIONS,0.36,24
PASSES_ATTEMPTED,46.68,30
PASS_COMPLETION_PERCENTAGE,95.6,99
PROGRESSIVE_PASSES,1.68,12
PROGRESSIVE CARRIES,1.80,29
DRIBBLES_COMPLETED,0.00,1
TOUCHES_IN_AREA,1.08,77
PROGRESSIVE_PASSES_RECIEVED,0.00,3
PRESSURES,8.04,38
TACKLES,1.44,47
INTERCEPTIONS,1.80,59
BLOCKS,0.72,1
CLEARANCES,4.32,30
AERIAL_DUELS_WON,3.60,86
