Ranieri,Luca,Salernitana
DF,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.07,77
NON_PEN_XG,0.05,64
TOTAL_SHOTS,0.35,23
ASSISTS,0.00,8
XA,0.10,68
NON_PEN_XG+XA,0.16,70
SHOT_CREATIONS,1.34,30
PASSES_ATTEMPTED,44.75,17
PASS_COMPLETION_PERCENTAGE,70.2,9
PROGRESSIVE_PASSES,4.51,77
PROGRESSIVE CARRIES,3.45,23
DRIBBLES_COMPLETED,1.13,76
TOUCHES_IN_AREA,0.99,32
PROGRESSIVE_PASSES_RECIEVED,1.83,38
PRESSURES,7.89,3
TACKLES,1.55,20
INTERCEPTIONS,1.55,45
BLOCKS,1.76,42
CLEARANCES,2.11,38
AERIAL_DUELS_WON,0.99,36
