Quagliarella,Fabio,Sampdoria
ST,FW,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.27,28
NON_PEN_XG,0.24,18
TOTAL_SHOTS,3.08,80
ASSISTS,0.12,43
XA,0.09,29
NON_PEN_XG+XA,0.33,13
SHOT_CREATIONS,2.04,39
PASSES_ATTEMPTED,24.95,59
PASS_COMPLETION_PERCENTAGE,66.9,17
PROGRESSIVE_PASSES,1.61,57
PROGRESSIVE CARRIES,2.50,45
DRIBBLES_COMPLETED,0.81,33
TOUCHES_IN_AREA,4.38,23
PROGRESSIVE_PASSES_RECIEVED,9.19,83
PRESSURES,14.11,45
TACKLES,0.46,25
INTERCEPTIONS,0.27,29
BLOCKS,0.50,18
CLEARANCES,0.42,30
AERIAL_DUELS_WON,1.31,32
